id,category,difficulty,question,optionA,optionB,optionC,optionD,correct
1,Entertainment: Video Games,easy,In which series of games do you collect souls to empower you and buy weaponry and armor with?,Souls ,Final Fantasy ,Monster Hunter,The Legend of Zelda,A
2,Entertainment: Film,easy,What name did Tom Hanks give to his volleyball companion in the film `Cast Away`?,Friday,Wilson,Jones,Billy,B
3,Entertainment: Film,easy,When was the movie Con Air released?,1999,1985,1997,1990,C
4,Entertainment: Film,easy,Who played the female lead in the 1933 film King Kong,Mae West,Jean Harlow,Vivien Leigh,Fay Wray,D
5,Entertainment: Television,easy,"In the TV show M*A*S*H, what was the nickname of Corporal Walter Reilly?",Radar,Hawkeye,Hot Lips,Trapper,A
6,General Knowledge,easy,What name represents the letter M in the NATO phonetic alphabet?,Matthew,Mike,Mark,Max,B
7,History,easy,How many manned moon landings have there been?,3,1,6,7,C
8,Science & Nature,easy,What is the elemental symbol for mercury?,Hy,Me,Mc,Hg,D
9,Science: Computers,easy,What does GHz stand for?,Gigahertz,Gigahotz,Gigahetz,Gigahatz,A
10,Entertainment: Video Games,easy,Which game did NOT get financed via Crowdfunding?,Town of Salem,Enter the Gungeon,Undertale,Tower Unite,B
11,Entertainment: Music,easy,The Red Hot Chili Pepper song Give It Away is from what album?,By the Way,One Hot Minute,Blood Sugar Sex Magik,Stadium Arcadium,C
12,Science: Computers,easy,The programming language Swift was created to replace what other programming language?,C++,C#,Ruby,Objective-C,D
13,Entertainment: Books,easy,Who wrote the novel Fear And Loathing In Las Vegas?,Hunter S. Thompson,F. Scott Fitzgerald,Henry Miller,William S. Burroughs,A
14,Entertainment: Video Games,easy,"If a 360 no-scope is one full rotation before shooting, how many rotations would a 1080 no-scope be?",4,3,2,5,B
15,Politics,easy,The largest consumer market in 2015 was...,Japan,Germany,The United States of America,United Kingdom,C
16,Entertainment: Video Games,easy,Tomb Raider icon Lara Croft was originally called...,Lara Craft,Laura Craft,Laura Croft,Laura Cruz,D
17,Science: Gadgets,easy,The term battery to describe an electrical storage device was coined by?,Benjamin Franklin,Nikola Tesla,Luigi Galvani, Alessandro Volta,A
18,Entertainment: Video Games,easy,"In the 2002 video game Kingdom Hearts, how many Keyblades are usable?",13,18,16,15,B
19,Entertainment: Japanese Anime & Manga,easy,What is the name of the stuffed lion in Bleach?,Urdiu,Jo,Kon,Chad,C
20,Animals,easy,How many legs do butterflies have?,0,2,4,6,D
21,Entertainment: Japanese Anime & Manga,easy,Who is the true moon princess in Sailor Moon?,Sailor Moon,Sailor Venus,Sailor Mars,Sailor Jupiter,A
22,Sports,easy,Which driver has been the Formula 1 world champion for a record 7 times?,Ayrton Senna,Michael Schumacher,Fernando Alonso,Jim Clark,B
23,Geography,easy,Which UK country features a dragon on their flag?,North Ireland,England,Wales,Scotland,C
24,Entertainment: Video Games,easy,Which of these Starbound races has a Wild West culture?,Hylotl,Avian,Human,Novakid,D
25,Entertainment: Video Games,easy,What is Gabe Newell's favorite class in Team Fortress 2?,Spy,Heavy,Medic,Pyro,A
26,Entertainment: Video Games,easy,TF2: What code does Soldier put into the door keypad in Meet the Spy?,1432,1111,1337,No code,B
27,Entertainment: Video Games,easy,Who is the main protagonist of Dead Space?,Gordon Freeman,Commander Shepard,Isaac Clarke,Master Chief,C
28,Entertainment: Music,easy,Which Beatles album does NOT feature any of the band members on it's cover?,Magical Mystery Tour,Rubber Soul,Abbey Road,The Beatles (White Album),D
29,Science & Nature,easy,The medical term for the belly button is which of the following?,Umbilicus,Nevus,Nares,Paxillus,A
30,Science: Computers,easy,"On Twitter, what is the character limit for a Tweet?",120,140,160,100,B
31,Entertainment: Music,easy,"Sting, the lead vocalist of The Police, primarily plays what instrument?",Guitar,Drums,Bass Guitar,Keyboards,C
32,Entertainment: Television,easy,When did the TV show Rick and Morty first air on Adult Swim?,2015,2014,2016,2013,D
33,History,easy,What was the first sport to have been played on the moon?,Golf,Football,Tennis,Soccer,A
34,Entertainment: Music,easy,"According to the American rapper Nelly, what should you do when its hot in here?",Take a cool shower,Take off all your clothes,Drink some water,Go skinny dipping,B
35,Entertainment: Video Games,easy,"Which Sonic the Hedgehog game was originally supposed to be packaged with Sonic 3, but was cut in half due to time constraints?",Sonic CD,Sonic 2,Sonic & Knuckles,Sonic 3D Blast,C
36,Entertainment: Music,easy,What collaborative album was released by Kanye West and Jay-Z in 2011?,Unfinished Business,Distant Relatives,What a Time to be Alive,Watch the Throne,D
37,Entertainment: Music,easy,Kanye West's Gold Digger featured which Oscar-winning actor?,Jamie Foxx,Alec Baldwin,Dwayne Johnson, Bruce Willis,A
38,Sports,easy,"In Baseball, how many times does the ball have to be pitched outside of the strike zone before the batter is walked?",1,4,2,3,B
39,Entertainment: Cartoon & Animations,easy,What is lost in Hawaiian and is also the name of a little girl in a 2002 film which features a alien named Stitch?,Lucy,Lolo,Lilo,Lulu,C
40,Science: Computers,easy,The numbering system with a radix of 16 is more commonly referred to as,Octal,Binary,Duodecimal,Hexidecimal,D
41,Entertainment: Television,easy,"In Star Trek: The Next Generation, what is the name of Data's cat?",Spot,Mittens,Tom,Kitty,A
42,History,easy,How long did World War II last?,4 years,6 years,5 years,7 years,B
43,Entertainment: Cartoon & Animations,easy,Who created the Cartoon Network series Regular Show?,Pendleton Ward,Ben Bocquelet,J. G. Quintel,Rebecca Sugar,C
44,Vehicles,easy,The LS2 engine is how many cubic inches?,402,346,376,364,D
45,Vehicles,easy,The LS3 engine is how many cubic inches?,376,346,364,427,A
46,Science: Computers,easy,How many values can a single byte represent?,8,256,1,1024,B
47,Entertainment: Video Games,easy,What is the name of the game developer who created Call Of Duty: Zombies?,Infinity Ward,Sledgehammer Games,Treyarch,Naughty Dog,C
48,Entertainment: Film,easy,What is the name of the island that Jurassic Park is built on?,Isla Pena,Isla Sorna,Isla Muerta,Isla Nublar,D
49,Celebrities,easy,By which name is Ramon Estevez better known as?,Martin Sheen,Charlie Sheen,Ramon Sheen,Emilio Estevez,A
50,Politics,medium,Who was the British Prime Minister at the outbreak of the Second World War?,Clement Attlee,Neville Chamberlain,Winston Churchill,Stanley Baldwin,B
51,Entertainment: Comics,medium,"In Marvel Comics, Taurus is the founder and leader of which criminal organization?",Tiger Mafia,Scorpio,Zodiac,The Union,C
52,Entertainment: Video Games,medium,What was the character Kirby originally going to be named?,Prince Puff,Dedede,Waddle Dee,Popopo,D
53,History,medium,"During the Mongolian invasions of Japan, what were the Mongol boats mostly stopped by?",Typhoons,Tornados,Economic depression,Samurai,A
54,Entertainment: Video Games,medium,Who was the mascot of SEGA mascot before Sonic the Hedgehog?,Opa Opa,Alex Kidd,NiGHTS,Ristar,B
55,History,medium,During what war did the Cuban Missile Crisis occur?,World War II,World War I,Cold War,Revolutionary War,C
56,Entertainment: Music,medium,Which Elton John hit starts with the line When are you gonna come down?,Crocodile Rock,Rocket Man,Bennie and the Jets,Goodbye Yellow Brick Road,D
57,Entertainment: Music,medium,Who had a 1976 hit with the song 'You Make Me Feel Like Dancing'?,Leo Sayer,Elton John,Billy Joel,Andy Gibb,A
58,Entertainment: Film,medium,"In the 1984 movie The Terminator, what model number is the Terminator portrayed by Arnold Schwarzenegger?",I-950,T-800,T-888,T-1000,B
59,Entertainment: Music,medium,Which of these is NOT an album released by The Beatles?,Magical Mystery Tour,Abbey Road,The Wall,Revolver,C
60,General Knowledge,medium,Rolex is a company that specializes in what type of product?,Sports equipment,Cars,Computers,Watches,D
61,Celebrities,medium,Paul McCartney has always used his middle name. What is his real first name? ,James,John,Jack,Justin,A
62,Science & Nature,medium,What mineral has the lowest number on the Mohs scale?,Quartz,Talc,Diamond,Gypsum,B
63,Entertainment: Books,medium,"In the The Hobbit, who kills Smaug?",Gandalf the Grey,Bilbo Baggins,Bard,Frodo,C
64,Science: Computers,medium,All of the following programs are classified as raster graphics editors EXCEPT:,Adobe Photoshop,Paint.NET,GIMP,Inkscape,D
