category,type,difficulty,question,correct_answer,incorrect_answers/0,incorrect_answers/1,incorrect_answers/2
Entertainment: Video Games,multiple,easy,In which series of games do you collect souls to empower you and buy weaponry and armor with?,Souls ,Final Fantasy ,Monster Hunter,The Legend of Zelda
Entertainment: Film,multiple,easy,What name did Tom Hanks give to his volleyball companion in the film `Cast Away`?,Wilson,Friday,Jones,Billy
Entertainment: Film,multiple,easy,When was the movie Con Air released?,1997,1985,1999,1990
Entertainment: Film,multiple,easy,Who played the female lead in the 1933 film King Kong,Fay Wray,Jean Harlow,Vivien Leigh,Mae West
Entertainment: Television,multiple,easy,"In the TV show M*A*S*H, what was the nickname of Corporal Walter Reilly?",Radar,Hawkeye,Hot Lips,Trapper
General Knowledge,multiple,easy,What name represents the letter M in the NATO phonetic alphabet?,Mike,Matthew,Mark,Max
History,multiple,easy,How many manned moon landings have there been?,6,1,3,7
Science & Nature,multiple,easy,What is the elemental symbol for mercury?,Hg,Me,Mc,Hy
Science: Computers,multiple,easy,What does GHz stand for?,Gigahertz,Gigahotz,Gigahetz,Gigahatz
Entertainment: Video Games,multiple,easy,Which game did NOT get financed via Crowdfunding?,Enter the Gungeon,Town of Salem,Undertale,Tower Unite
Entertainment: Music,multiple,easy,The Red Hot Chili Pepper song Give It Away is from what album?,Blood Sugar Sex Magik,One Hot Minute,By the Way,Stadium Arcadium
Science: Computers,multiple,easy,The programming language Swift was created to replace what other programming language?,Objective-C,C#,Ruby,C++
Entertainment: Books,multiple,easy,Who wrote the novel Fear And Loathing In Las Vegas?,Hunter S. Thompson,F. Scott Fitzgerald,Henry Miller,William S. Burroughs
Entertainment: Video Games,multiple,easy,"If a 360 no-scope is one full rotation before shooting, how many rotations would a 1080 no-scope be?",3,4,2,5
Politics,multiple,easy,The largest consumer market in 2015 was...,The United States of America,Germany,Japan,United Kingdom
Entertainment: Video Games,multiple,easy,Tomb Raider icon Lara Croft was originally called...,Laura Cruz,Laura Craft,Laura Croft,Lara Craft
Science: Gadgets,multiple,easy,The term battery to describe an electrical storage device was coined by?,Benjamin Franklin,Nikola Tesla,Luigi Galvani, Alessandro Volta
Entertainment: Video Games,multiple,easy,"In the 2002 video game Kingdom Hearts, how many Keyblades are usable?",18,13,16,15
Entertainment: Japanese Anime & Manga,multiple,easy,What is the name of the stuffed lion in Bleach?,Kon,Jo,Urdiu,Chad
Animals,multiple,easy,How many legs do butterflies have?,6,2,4,0
Entertainment: Japanese Anime & Manga,multiple,easy,Who is the true moon princess in Sailor Moon?,Sailor Moon,Sailor Venus,Sailor Mars,Sailor Jupiter
Sports,multiple,easy,Which driver has been the Formula 1 world champion for a record 7 times?,Michael Schumacher,Ayrton Senna,Fernando Alonso,Jim Clark
Geography,multiple,easy,Which UK country features a dragon on their flag?,Wales,England,North Ireland,Scotland
Entertainment: Video Games,multiple,easy,Which of these Starbound races has a Wild West culture?,Novakid,Avian,Human,Hylotl
Entertainment: Video Games,multiple,easy,What is Gabe Newell's favorite class in Team Fortress 2?,Spy,Heavy,Medic,Pyro
Entertainment: Video Games,multiple,easy,TF2: What code does Soldier put into the door keypad in Meet the Spy?,1111,1432,1337,No code
Entertainment: Video Games,multiple,easy,Who is the main protagonist of Dead Space?,Isaac Clarke,Commander Shepard,Gordon Freeman,Master Chief
Entertainment: Music,multiple,easy,Which Beatles album does NOT feature any of the band members on it's cover?,The Beatles (White Album),Rubber Soul,Abbey Road,Magical Mystery Tour
Science & Nature,multiple,easy,The medical term for the belly button is which of the following?,Umbilicus,Nevus,Nares,Paxillus
Science: Computers,multiple,easy,"On Twitter, what is the character limit for a Tweet?",140,120,160,100
Entertainment: Music,multiple,easy,"Sting, the lead vocalist of The Police, primarily plays what instrument?",Bass Guitar,Drums,Guitar,Keyboards
Entertainment: Television,multiple,easy,When did the TV show Rick and Morty first air on Adult Swim?,2013,2014,2016,2015
History,multiple,easy,What was the first sport to have been played on the moon?,Golf,Football,Tennis,Soccer
Entertainment: Music,multiple,easy,"According to the American rapper Nelly, what should you do when its hot in here?",Take off all your clothes,Take a cool shower,Drink some water,Go skinny dipping
Entertainment: Video Games,multiple,easy,"Which Sonic the Hedgehog game was originally supposed to be packaged with Sonic 3, but was cut in half due to time constraints?",Sonic &amp; Knuckles,Sonic 2,Sonic CD,Sonic 3D Blast
Entertainment: Music,multiple,easy,What collaborative album was released by Kanye West and Jay-Z in 2011?,Watch the Throne,Distant Relatives,What a Time to be Alive,Unfinished Business
Entertainment: Music,multiple,easy,Kanye West's Gold Digger; featured which Oscar-winning actor?,Jamie Foxx,Alec Baldwin,Dwayne Johnson, Bruce Willis
Sports,multiple,easy,"In Baseball, how many times does the ball have to be pitched outside of the strike zone before the batter is walked?",4,1,2,3
Entertainment: Cartoon & Animations,multiple,easy,What is lost in Hawaiian and is also the name of a little girl in a 2002 film which features a alien named Stitch?,Lilo,Lolo,Lucy,Lulu
Science: Computers,multiple,easy,The numbering system with a radix of 16 is more commonly referred to as ,Hexidecimal,Binary,Duodecimal,Octal
Entertainment: Television,multiple,easy,"In Star Trek: The Next Generation, what is the name of Data's cat?",Spot,Mittens,Tom,Kitty
History,multiple,easy,How long did World War II last?,6 years,4 years,5 years,7 years
Entertainment: Cartoon & Animations,multiple,easy,Who created the Cartoon Network series Regular Show?,J. G. Quintel,Ben Bocquelet,Pendleton Ward,Rebecca Sugar
